time,close,high,low,open,volume
2014-12-31 16:00:00+00:00,171.10166325,173.33306207,171.0184021,173.14988754,125401870.0
2015-01-02 16:00:00+00:00,171.043380445,172.25066712,170.00261607,171.8510136,127259203.0
2015-01-05 16:00:00+00:00,167.98769624,170.160812255,167.646325525,170.0192683,182306552.0
2015-01-06 16:00:00+00:00,166.37242993,168.78700328,165.57312289,168.295762495,229770923.0
2015-01-07 16:00:00+00:00,168.445632565,168.78700328,167.25499812,167.73791279,133203875.0
2015-01-08 16:00:00+00:00,171.43470785,171.65118684,169.844419885,169.852746,162779574.0
2015-01-09 16:00:00+00:00,170.010942185,171.859339715,169.45309248,171.842687485,166200080.0
2015-01-12 16:00:00+00:00,168.728720475,170.343986785,168.129240195,170.20244283,156207721.0
2015-01-13 16:00:00+00:00,168.25413192,171.08501102,166.95525798,169.977637725,234625795.0
2015-01-14 16:00:00+00:00,167.30495481,167.43817265,165.331665555,166.247538205,211146376.0
2015-01-15 16:00:00+00:00,165.664710155,168.187523,165.58977512,167.88778286,187722619.0
2015-01-16 16:00:00+00:00,167.879456745,168.03765293,165.315013325,165.481535625,222987641.0
2015-01-20 16:00:00+00:00,168.25413192,168.778677165,166.663843955,168.545545945,144833736.0
2015-01-21 16:00:00+00:00,169.07009119,169.56965809,167.30495481,167.779543365,133822079.0
2015-01-22 16:00:00+00:00,171.559599575,171.73444799,168.462284795,169.86939823,172212465.0
2015-01-23 16:00:00+00:00,170.660379155,171.60123015,170.527161315,171.3514467,123882282.0
2015-01-26 16:00:00+00:00,171.05170656,171.15161994,169.727854275,170.460552395,96456095.0
2015-01-27 16:00:00+00:00,168.845286085,169.95265938,167.979370125,169.0201345,141866630.0
2015-01-28 16:00:00+00:00,166.63886561,170.643726925,166.447364965,169.98596384,172371589.0
2015-01-29 16:00:00+00:00,168.195849115,168.43730645,165.42325282,166.80538791,170839743.0
2015-01-30 16:00:00+00:00,166.081015905,168.329066955,165.797927995,166.98856244,201963366.0
2015-02-02 16:00:00+00:00,168.10426185,168.20417523,164.74051139,166.580582805,177857713.0
2015-02-03 16:00:00+00:00,170.55213966,170.560465775,168.645459325,168.97017781,134103920.0
2015-02-04 16:00:00+00:00,169.90270269,171.00174987,169.444766365,169.777810965,136160536.0
2015-02-05 16:00:00+00:00,171.66783907,171.76775245,170.493856855,170.543813545,103940900.0
2015-02-06 16:00:00+00:00,171.126641595,172.55040726,170.61874858,171.992557555,126524408.0
2015-02-09 16:00:00+00:00,170.377291245,171.21822886,169.96931161,170.493856855,92856375.0
2015-02-10 16:00:00+00:00,172.159079855,172.45049388,170.53548743,171.426381735,105472149.0
2015-02-11 16:00:00+00:00,172.292297695,172.725255675,171.376425045,172.0175359,92529726.0
2015-02-12 16:00:00+00:00,173.94919458,174.007477385,172.91675632,173.108256965,98894655.0
2015-02-13 16:00:00+00:00,174.66524047,174.71519716,173.81597674,174.08241242,93655972.0
2015-02-17 16:00:00+00:00,174.98163284,175.11485068,174.09906465,174.33219587,78090001.0
2015-02-18 16:00:00+00:00,174.973306725,175.03158953,174.307217525,174.540348745,82847207.0
2015-02-19 16:00:00+00:00,174.83176277,175.19811183,174.21563026,174.373826445,99276217.0
2015-02-20 16:00:00+00:00,175.91415772,175.955788295,173.790998395,174.373826445,148444545.0
2015-02-23 16:00:00+00:00,175.839222685,175.855874915,175.24806852,175.656048155,82222749.0
2015-02-24 16:00:00+00:00,176.355441815,176.555268575,175.48119974,175.772613765,78176941.0
2015-02-25 16:00:00+00:00,176.188919515,176.71346476,175.86420103,176.21389786,80827289.0
2015-02-26 16:00:00+00:00,175.989092755,176.272180665,175.389612475,176.138962825,78900926.0
2015-02-27 16:00:00+00:00,175.39793859,176.16394117,175.38128636,175.889179375,105082786.0
2015-03-02 16:00:00+00:00,176.505311885,176.56359469,175.44789528,175.506178085,91045743.0
2015-03-03 16:00:00+00:00,175.78093988,176.172267285,174.91502392,176.06402779,116765482.0
2015-03-04 16:00:00+00:00,175.023263415,175.256394635,174.06576019,175.19811183,119020654.0
2015-03-05 16:00:00+00:00,175.273046865,175.5145042,174.723523275,175.339655785,83848904.0
2015-03-06 16:00:00+00:00,172.76688625,174.79845831,172.43384165,174.33219587,181693201.0
2015-03-09 16:00:00+00:00,173.48293214,173.840955085,172.83349517,172.98336524,97844900.0
2015-03-10 16:00:00+00:00,170.6853575,172.192384315,170.660379155,172.10079705,165271390.0
2015-03-11 16:00:00+00:00,170.26905175,171.10166325,170.1857906,170.926814835,121840361.0
2015-03-12 16:00:00+00:00,172.458819995,172.50045057,170.8518798,170.88518426,100528595.0
2015-03-13 16:00:00+00:00,171.38475116,172.292297695,170.33566067,172.15075374,171420488.0
2015-03-16 16:00:00+00:00,173.71606336,173.757693935,172.08414482,172.08414482,147089314.0
2015-03-17 16:00:00+00:00,173.174865885,173.53288883,172.33392827,172.891777975,103617858.0
2015-03-18 16:00:00+00:00,175.19811183,175.89750549,172.03418813,172.641994525,241441102.0
2015-03-19 16:00:00+00:00,174.43210925,175.089872335,174.040781845,174.88171946,128549420.0
2015-03-20 16:00:00+00:00,176.012824845,176.489552382,175.310279001,175.352097206,171657538.0
2015-03-23 16:00:00+00:00,175.636461,176.564825151,175.636461,175.996097563,72693102.0
2015-03-24 16:00:00+00:00,174.649551362,175.97100664,174.582642234,175.527733667,79540433.0
2015-03-25 16:00:00+00:00,172.090277216,175.092824335,172.048459011,174.808460541,171234300.0
2015-03-26 16:00:00+00:00,171.680458807,172.600459317,170.718640092,171.421185936,162073457.0
2015-03-27 16:00:00+00:00,172.081913575,172.249186395,171.379367731,171.588458756,121482004.0
2015-03-30 16:00:00+00:00,174.164460184,174.473914901,173.093914136,173.093914136,94678431.0
2015-03-31 16:00:00+00:00,172.650641163,174.04736921,172.592095676,173.344823366,121384611.0
2015-04-01 16:00:00+00:00,172.04009537,172.642277522,171.044822091,172.642277522,147702691.0
2015-04-02 16:00:00+00:00,172.62555024,173.110641418,171.78918614,171.939731678,91284296.0
2015-04-06 16:00:00+00:00,173.829914544,174.340096645,171.630276961,171.780822499,113536418.0
